その月の社会保険料等控除後の給与等の金額（以上）	その月の社会保険料等控除後の給与等の金額（未満）	扶養親族等の数（０人）	扶養親族等の数（１人）	扶養親族等の数（２人）	扶養親族等の数（３人）	扶養親族等の数（４人）	扶養親族等の数（５人）	扶養親族等の数（６人）	扶養親族等の数（７人）	乙
950000	953000	115040	107750	100470	93190	85900	78830	72490	66160	338600
953000	956000	115690	108410	101120	93840	86560	79400	73060	66730	340100
956000	959000	116350	109060	101780	94500	87210	79970	73630	67300	341500
959000	962000	117000	109720	102440	95150	87870	80590	74200	67870	342900
962000	965000	117660	110370	103090	95810	88520	81240	74770	68440	344400
965000	968000	118310	111030	103750	96460	89180	81900	75340	69010	345800
968000	971000	118970	111690	104400	97120	89840	82550	75910	69580	347300
971000	974000	119680	112340	105060	97770	90490	83210	76480	70150	348700
974000	977000	120620	113000	105710	98430	91150	83860	77050	70720	350100
977000	980000	121560	113650	106370	99090	91800	84520	77620	71290	351600
980000	983000	122500	114310	107020	99740	92460	85170	78190	71860	353000
983000	986000	123440	114960	107680	100400	93110	85830	78760	72430	354500
986000	989000	124380	115620	108340	101050	93770	86480	79330	73000	355900
989000	992000	125320	116270	108990	101710	94420	87140	79900	73570	357300
992000	995000	126260	116930	109650	102360	95080	87800	80510	74140	358800
995000	998000	127200	117590	110300	103020	95730	88450	81170	74710	360200
998000	1001000	128140	118240	110960	103670	96390	89110	81820	75280	361700
1001000	1004000	129080	118900	111610	104330	97050	89760	82480	75850	363100
1004000	1007000	130020	119570	112270	104980	97700	90420	83130	76420	364500
1007000	1010000	130960	120510	112920	105640	98360	91070	83790	76990	366000
